date,ndvi_mean
2023-01-04,0.656434644761493
2023-01-24,0.6232242124768376
2023-01-29,0.6219753462182316
2023-02-03,0.5254293262879789
2023-02-23,0.4251040221914008
2023-03-15,0.3942178824430404
2023-03-20,0.3692569483834373
2023-03-25,0.3460656990068755
2023-04-09,0.2686517229842757
2023-04-14,0.24338141318239911
2023-04-19,0.22758620689655173
2023-04-24,0.2098950524737631
2023-05-04,0.18700890518596125
2023-05-14,0.172342974499401
2023-05-19,0.1609403254972875
2023-06-23,0.13633792193098246
2023-06-28,0.14648782209671726
2023-07-03,0.13436006372809348
2023-07-13,0.1314209472981988
2023-07-23,0.1234223897721685
2023-07-28,0.13644495039843876
2023-08-07,0.13234831813895
2023-08-12,0.13765570105397637
2023-08-17,0.1526015228426396
2023-08-22,0.12293923692887423
2023-08-27,0.1391941391941392
2023-09-01,0.13297628156082633
2023-09-26,0.17708508845829823
2023-10-01,0.17835951134380454
2023-10-06,0.16587355540448676
2023-10-11,0.16043740819324304
2023-11-25,0.6447500358114884
2023-12-30,0.40486048604860486
