parcel_id,source_id,observation_time,air_temperature_c,dewpoint_temperature_c,relative_humidity_pct,precipitation_m,solar_radiation_jm2,wind_u_10m,wind_v_10m,evaporation_m
1,3,2023-02-10 12:00:00,11.932312,2.624054,52.910835,0.0,1.949184e+06,-5.2459717,-0.81144714,-0.00014869007
1,3,2023-02-11 12:00:00,12.023956,1.1199646,47.236034,0.0,1.714944e+06,-4.8282623,0.05671692,-0.00013783388
1,3,2023-02-12 12:00:00,13.058838,4.268524,55.182884,0.0,1.319168e+06,-2.7495422,-0.35035706,-0.0001225227
1,3,2023-02-13 12:00:00,15.273773,4.887451,49.92248,0.0,2.122048e+06,-3.3076477,-0.07043457,-0.0001725757
1,3,2023-02-14 12:00:00,15.972382,5.711151,50.549656,0.0,2.18272e+06,-2.5934143,1.2659454,-0.00018076389
1,3,2023-02-15 12:00:00,16.05899,5.8415833,50.726707,0.0,2.039104e+06,-3.7570343,-0.96336365,-0.00016501988
1,3,2023-02-16 12:00:00,15.751007,6.252533,53.223507,0.0,2.19808e+06,-3.2839508,-2.521408,-0.00016735354
1,3,2023-02-17 12:00:00,15.526428,4.639618,48.27817,0.0,2.220032e+06,-4.9565125,-2.057312,-0.00017888169
1,3,2023-02-18 12:00:00,17.870026,7.207123,49.68059,0.0,2.139264e+06,-2.6950226,-1.0406647,-0.00018723868
1,3,2023-02-19 12:00:00,15.922699,7.3758545,56.860775,0.0,1.702784e+06,-3.148758,-0.19070435,-0.00014661276
1,3,2023-02-20 12:00:00,16.866516,6.480438,50.357758,9.536743e-07,1.528448e+06,-1.6552734,0.62976074,-0.00014102901
1,3,2023-02-21 12:00:00,16.60379,10.187592,65.83499,2.9087067e-05,1.739072e+06,1.8882904,-0.24536133,-0.00013624574
1,3,2023-02-22 12:00:00,13.748932,8.070587,68.57695,0.0,2.181376e+06,1.3061066,-0.64060974,-0.00014565932
1,3,2023-02-23 12:00:00,11.590668,0.10366821,45.16864,0.0,2.402304e+06,3.0879822,-3.5495605,-0.00015100325
